,review_clean,Word_Count,review_rating,review_datetime_utc
0,works fine i like the graphics and layout wish there was an sms version though,15,5,2012-03-26T05:49:59.000Z
1,unknown error occurred always popping up never been able to login properly,12,1,2012-03-26T10:49:57.000Z
2,very convenient to use,4,5,2012-05-08T03:32:34.000Z
3,it would really be great if you add payable to android apps so it would be easier for android users to buy paid apps who dont have any credit card,30,4,2012-05-31T13:53:30.000Z
4,its working fine with my motorola droid razr yet i think the login should specifically specify that the mpin is needed but overall it works great easy to load easy to pay bills,33,5,2012-06-20T13:38:43.000Z
5,running cm9 on my galaxy nexus plus and keeps crashing when i submit registration,14,1,2012-06-25T16:10:31.000Z
6,love the way you pay,5,5,2012-07-02T14:10:54.000Z
7,ill try if itworks,4,3,2012-07-03T22:34:46.000Z
8,for those qwerty android phones samsung galaxy pro the screen doesnt adapt too well and is shown sideways regardless of the autorotates state onoff  still no bank to gcash feature,30,2,2012-08-17T07:29:38.000Z
9,godd app hope u also create one for windows phones,10,4,2012-08-18T23:44:10.000Z
10,would be nice if globe would allow us to convert prepaid load into gcash,14,1,2012-08-19T02:11:41.000Z
11,good app nice work globe,5,5,2012-08-21T11:07:55.000Z
12,this is an excellent app the ui is very simplistic and very intuitive no frills no confusing menus  just the bare necessities,22,5,2012-08-22T13:28:16.000Z
13,finally an app that eliminates the manual typing of codes for gcash transactions im sure globe will improve the app over time but right now it does the job so kudos to the devs,34,5,2012-09-12T03:09:00.000Z
14,if gcash could b used to buy apps from gplay it would b a great app please,17,3,2012-09-23T14:11:36.000Z
15,much easier transaction thank you globe your simply the best,10,5,2012-10-10T14:33:05.000Z
16,very few merchants are supported the ones i need are either not supported or still buggy i go for smartmoney at the moment,23,1,2012-10-23T22:20:54.000Z
18,i can now finally enjoy shopping online using gcash,9,5,2012-11-20T13:00:21.000Z
19,the qr code generator is amazing super useful,8,5,2012-12-07T00:53:12.000Z
21,this system is so strange i am not filipino but i live in philippines in my country we dont have mothers middle name and when i insert na it doesnt work,31,1,2012-12-18T03:58:51.000Z
22,what im using is my samsung galaxy mini for sending money but whenever i use this application and about to send the money it crashes like always i had never used this application to any transactions because of that problem please kindly fix it so that this application will be useful,51,2,2012-12-21T09:07:58.000Z
24,registered then send request forever in login,7,1,2013-01-08T01:00:10.000Z
26,very accessible for the online buyers like me thank u globe for upgrading gcash more power,16,4,2013-02-26T03:48:56.000Z
27,yah  i wish it can be use on playstore,9,5,2013-02-28T12:51:35.000Z
28,most of mobile phones in philippines are dual sims its hassle to swap sims everytime using it can only use it if you have internet connection,26,1,2013-03-01T07:52:01.000Z
29,why i cannot use my virtual card charge to my gcash postpaid account error always occure been calling your hotline many times but no update from your end cmeon guys please do something,33,1,2013-03-03T00:14:49.000Z
30,been using the app for a while now and i must say how it helped me manage my gcash account great job from globe,24,5,2013-03-05T22:09:29.000Z
31,app is very slowwwwww,4,1,2013-03-07T11:26:03.000Z
33,nice apps  makes payment easier but major downside is bpi credit card not in the lists how come its sister company not on the list,25,1,2013-03-15T07:32:50.000Z
34,very nice interface and does the job well,8,5,2013-03-17T00:28:35.000Z
35,it stopped working it told me to call 2882 is it because of the kyc ive already registered to kyc,20,3,2013-03-17T02:45:16.000Z
36,if it is internet based why is there still a need for mobile load for it to work for checking gcash account porpuses indeed mobile balance is needed in sending money through gcash but checking for account balanceinfo only i think is not necessary if this app is internet based,50,3,2013-03-20T01:26:38.000Z
37,thanks for advertising for gcash bcoz i cant buy via online shop if u dont have creditcard so thanks for this app and gcash amex virtual card and i hope it will convinient to me thanks,36,5,2013-03-21T19:34:19.000Z
39,you dont have to move your sim to slot1 just disable sim1 while youre using gcash app,17,4,2013-04-21T09:30:37.000Z
40,i am registered to gcash but when i applied for my amex it gives a message saying i am not register to gcash i have also done the kyc at globe center,32,1,2013-06-19T06:42:09.000Z
41,we want to purchase stuff in the play store using gcash make it happen and you guys will rule,19,3,2013-06-29T12:05:56.000Z
42,says unable to process uninstalling it now,7,1,2013-07-02T22:29:10.000Z
45,every time that i access my gcash using this it always deducted in my load i dont know why,19,3,2013-07-30T10:56:10.000Z
47,why is it requiring me to have prepaid credits before i can login what if i dont have any and i need to get some credits from my gcash id have to go to a store to buy prepaid credits just so i can login to gcash isnt this service suppose to be about convenience please fix this until then im uninstalling,62,1,2013-08-03T01:47:51.000Z
49,the app became smoother and the animation has improved the overall user experience thanks for the update,17,5,2013-08-15T15:38:43.000Z
50,i hope it could be used as a mean of payment in android market ,14,1,2013-08-20T07:49:56.000Z
53,a lot of improvement but why is the outlet locator module crashing,12,4,2013-09-27T02:37:09.000Z
54,but slow and crashing,4,5,2013-09-27T08:26:14.000Z
55,great job efficient and nice skinning,6,5,2013-09-30T20:01:43.000Z
